name,address,type,has_pet_space,is_emergency_flood,is_emergency_landslide,is_emergency_tidalwave,is_emergency_large_fire,has_parking,has_barrier_free_toilet,is_designated_shelter,is_welfare_shelter_primary,emergency_space_note,notes,contact_hq,source_asof_date,lat,lng,capacity,phone,website_url,pin_icon
藤嶺学園藤沢高等学校,西富1-7-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
翠ヶ丘公園,西富593-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
村岡市民センター 【地区防災拠点本部】,弥勒寺1-7-7,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,,,,,,
新林小学校,川名400,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
村岡小学校,弥勒寺1-16-1,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,,,,,,
高谷小学校,高谷9-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
村岡中学校,弥勒寺2-1-27,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,,,,,,
藤ヶ岡中学校,藤が岡3-18-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
特別養護老人ホームみどりの園,小塚370-1,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,,,,,,
小塚東町内会館,小塚41-21,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
新林公園周辺（新林小含む）,川名411-1他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
高谷小学校周辺（高谷公園・天嶽院含む）,高谷9-1他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
辻堂市民センター 【地区防災拠点本部】,辻堂西海岸2-1-17,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
辻堂小学校,辻堂東海岸1-17-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
浜見小学校,辻堂西海岸1-4-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
高砂小学校,辻堂西海岸1-3-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
八松小学校,辻堂元町3-1-6,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘洋中学校,辻堂東海岸4-17-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
高浜中学校,辻堂西海岸1-4-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南工科大学,辻堂西海岸1-1-25,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南工科大学附属高等学校,辻堂西海岸1-1-25,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南工科大学（周辺）,辻堂西海岸1-1-25他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
長久保公園,辻堂太平台2-13-35,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
鵠沼市民センター 【地区防災拠点本部】,鵠沼海岸2-10-34,accompany,False,False,False,False,False,False,False,False,False,,周辺道幅狭いため路上駐車不可,,2025-04-01,,,,,,
鵠南小学校,鵠沼海岸4-7-34,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
鵠洋小学校,鵠沼桜が岡3-16-38,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
鵠沼小学校,本鵠沼5-4-23,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
鵠沼中学校,鵠沼桜が岡4-3-37,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
太陽の家,鵠沼海岸6-6-12,accompany,False,False,False,False,False,False,False,False,False,,利用者送迎バス出入りあり,,2025-04-01,,,,,,
市民会館,鵠沼東8-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
鵠沼高等学校,鵠沼藤が谷4-9-10,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南学園,鵠沼松が岡4-1-32,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南なぎさ荘,鵠沼海岸6-17-7,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
ＪＦＥエンジニアリング（株）江の島苑友荘,鵠沼松が岡1-17-4,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
市民会館周辺（奥田公園含む）,鵠沼東8-1他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
八部公園,鵠沼海岸6-12,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
片瀬市民センター 【地区防災拠点本部】,片瀬3-9-6,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
片瀬小学校,片瀬2-14-29,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
片瀬中学校,片瀬山4-1-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南港港湾管理事務所,江の島1-12-2,accompany,False,False,False,False,False,False,False,False,False,,※高潮警報時は除く,,2025-04-01,,,,,,
湘南白百合学園中学校・高等学校,片瀬目白山4-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
湘南白百合学園小学校,片瀬海岸2-2-30,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
江島神社,江の島2-3-8,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
片瀬しおさいセンター（片瀬市民センター分館）,片瀬4-9-22,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
江の島大師,江の島2-4-10,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
江の島アイランドスパ,江の島2-1-6,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
サムエルコッキング苑,江の島2-3-28,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
片瀬山公園,片瀬3-12,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
合 計,,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,,,,,,
