name,address,type,has_pet_space,is_emergency_flood,is_emergency_landslide,is_emergency_tidalwave,is_emergency_large_fire,has_parking,has_barrier_free_toilet,is_designated_shelter,is_welfare_shelter_primary,emergency_space_note,notes,contact_hq,source_asof_date,lat,lng,capacity,phone,website_url,pin_icon
石川小学校,石川4-19-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3764529,139.4477523,,,,
六会小学校,亀井野550,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3890501,139.4653504,,,,
六会中学校,亀井野1000,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3842927,139.4667722,,,,
日本大学藤沢高等学校,亀井野1866,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.37874,139.4692095,,,,
日本大学生物資源科学部,亀井野1866,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.37874,139.4692095,,,,
日本大学藤沢小学校,亀井野1866,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.37874,139.4692095,,,,
県立藤沢工科高等学校,今田744,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3908635,139.4766366,,,,
北部環境事業所,石川2168,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3952791,139.4514374,,,,
湘南台市民センター 【地区防災拠点本部】,湘南台1-8,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3947681,139.4688468,,,,
湘南台小学校,湘南台5-23,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.4011447,139.4675753,,,,
湘南台中学校,湘南台7-18-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3959974,139.4715586,,,,
県立湘南台高等学校,円行1986,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3984799,139.460265,,,,
多摩大学,円行802,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3870496,139.4615696,,,,
藤沢市まちづくり協会ビル,円行2-3-17,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3957193,139.4590653,,,,
湘南台公園周辺（湘南台中含む）,湘南台7-16他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3978275,139.4706248,,,,
湘南大庭市民センター 【地区防災拠点本部】,大庭5406-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3650172,139.4465718,,,,
駒寄小学校,大庭5527-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3685563,139.4487727,,,,
小糸小学校,大庭5062-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3593186,139.4465607,,,,
大庭小学校,大庭5307-7,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.36367120000001,139.4437408,,,,
滝の沢小学校,遠藤641-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.37020589999999,139.4365527,,,,
大庭中学校,大庭5416-6,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3640096,139.4503887,,,,
滝の沢中学校,遠藤699-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3719314,139.4430633,,,,
県立藤沢西高等学校,大庭3608-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3568423,139.4413182,,,,
大庭城址公園,大庭5230-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.36211249999999,139.4498529,,,,
滝の沢小学校周辺（遠藤公園含む）,遠藤641-3他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.37020589999999,139.4365527,,,,
善行市民センター 【地区防災拠点本部】,善行1-2-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3610213,139.4728686,,,,
善行小学校,善行団地6-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3674112,139.4615363,,,,
大越小学校,善行坂1-19-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.364151,139.4641088,,,,
善行中学校,石川3988-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.371248,139.4653504,,,,
荏原湘南スポーツセンター,稲荷1-9-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3531083,139.4670018,,,,
藤沢翔陵高等学校,善行7-1-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3620115,139.4744196,,,,
聖園女学院,みその台1-4,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3541514,139.4772396,,,,
県立総合教育センター,善行7-1-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3597568,139.4772844,,,,
県立スポーツセンター,善行7-1-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3598386,139.4751896,,,,
明治市民センター 【地区防災拠点本部】,辻堂新町1-11-23,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3403188,139.4493808,,,,
明治小学校,城南3-3-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3494102,139.4596294,,,,
羽鳥小学校,羽鳥3-11-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3438729,139.4591974,,,,
明治中学校,辻堂新町2-13-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3409776,139.4558158,,,,
羽鳥中学校,羽鳥4-13-14,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3460103,139.4626587,,,,
芙蓉カントリー倶楽部,大庭2320,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3511467,139.4504135,,,,
神台公園周辺（湘南藤沢徳洲会病院含む）,辻堂神台1-6-2他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3385555,139.4442943,,,,
藤沢市民センター 【地区防災拠点本部】,本町1-12-17,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3443339,139.4815837,,,,
大清水小学校,大鋸1433,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3548931,139.4849041,,,,
大清水中学校,大鋸1400,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3534919,139.4836294,,,,
県立藤沢清流高等学校,大鋸1450,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.355136,139.4837883,,,,
本町小学校,本町2-6-17,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3433617,139.4791185,,,,
第一中学校,鵠沼神明5-10-9,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3448603,139.4713103,,,,
県立湘南高等学校,鵠沼神明5-6-10,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3441383,139.4736149,,,,
石名坂温水プール,本藤沢1-10-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3521327,139.4716352,,,,
済美館（藤沢市民センター分館）,本町4-6-16,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3476454,139.4809272,,,,
県立湘南高等学校（周辺）,鵠沼神明5-6-10他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3441383,139.4736149,,,,
大道小学校,朝日町3-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3385042,139.4934865,,,,
大鋸小学校,大鋸1020,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3542472,139.4934581,,,,
藤沢小学校,本町1-9-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3457261,139.4840069,,,,
藤嶺学園藤沢高等学校,西富1-7-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3482477,139.4875923,,,,
翠ヶ丘公園,西富593-2,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3530346,139.4880609,,,,
村岡市民センター 【地区防災拠点本部】,弥勒寺1-7-7,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,35.3375177,139.4974176,,,,
新林小学校,川名400,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.331798,139.4925325,,,,
村岡小学校,弥勒寺1-16-1,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,35.3386351,139.4984994,,,,
高谷小学校,高谷9-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3431595,139.5031059,,,,
村岡中学校,弥勒寺2-1-27,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,35.338472,139.5005475,,,,
藤ヶ岡中学校,藤が岡3-18-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3472433,139.4984157,,,,
特別養護老人ホームみどりの園,小塚370-1,accompany,False,False,False,False,False,False,False,False,False,,浸水想定区域のため駐車場利用不可,,2025-04-01,35.3344552,139.5053372,,,,
小塚東町内会館,小塚41-21,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3408411,139.5137221,,,,
新林公園周辺（新林小含む）,川名411-1他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.329835,139.4930095,,,,
高谷小学校周辺（高谷公園・天嶽院含む）,高谷9-1他,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3431595,139.5031059,,,,
辻堂市民センター 【地区防災拠点本部】,辻堂西海岸2-1-17,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3252304,139.4472017,,,,
辻堂小学校,辻堂東海岸1-17-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3261335,139.4572552,,,,
浜見小学校,辻堂西海岸1-4-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3247688,139.4497712,,,,
高砂小学校,辻堂西海岸1-3-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.325835,139.4481892,,,,
八松小学校,辻堂元町3-1-6,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.33399,139.4525585,,,,
湘洋中学校,辻堂東海岸4-17-1,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.3192786,139.4589938,,,,
高浜中学校,辻堂西海岸1-4-3,accompany,False,False,False,False,False,False,False,False,False,,,,2025-04-01,35.324907,139.4485367,,,,
